abandon ,əˈbændən  ," покидать, оставлять, самовольно уходить"
falter out,,"говорить неуверенно, бормотать"
famine fever,"[,fæmin'fi:və]",голодный тиф; сыпной тиф; возвратный тиф
fancy articles,,модные товары; безделушки; галантерея
fare,[fɛə],"стоимость проезда или провоза багажа, тариф, плата за проезд"
fasten,['fa:s(ə)n],#ERROR!
fatigue party,"[fə'ti:g,pa:ti]",рабочая команда
faulty,['fo:lti],"неисправный, повреждённый, с изъяном (о предметах)"
feasible,['fi:zəbl],"реальный, выполнимый, осуществимый (о замысле, плане и т. п.)"
feat of arms,,"ратный подвиг, боевой подвиг"
fee,[fi:],"вознаграждение, гонорар (за какие-либо услуги)"
feeble,['fi:bl],"немощный, слабосильный, хилый (о физическом состоянии человека или животного)"
felicity,[fə'lisəti],счастье; блаженство
ferocious,[fə'rəu∫əs],"дикий; жестокий, беспощадный, свирепый; безжалостный (о человеке и животном; характере и действиях)"
fickle,['fikl],"непостоянный, переменчивый; ненадёжный, неустойчивый, переменный"
fiery,['faiəri],"огненный, пламенный; горящий"
finite risk,,ограниченный риск
fire a gun at,,"целиться в (кого-л., что-л.)"
fitting shop,,сборочная мастерская
flagrant,['fleigrənt],"ужасающий, ужасный, страшный, вопиющий (об обиде, преступлении и т. п.; тж. об обидчике, преступнике и т. п.)"
flatten out,,выравнивать (самолёт)
flaw,[flo:],"трещина, щель, порок (в металле, фарфоре и т. п.), брак (в приобретённом изделии)"
flee,[fli:],"убегать, спасаться бегством"
flexible word order,,свободный порядок слов
to flip a nickel,,бросить жребий
florid style,,витиеватый стиль
fluctuate,['fl∧kʧueit],"быть неустойчивым, меняться; колебаться; колыхаться"
foggy,['fоgi],"туманный, в тумане"
to fold one's arms,,скрестить руки на груди
fool about,,#ERROR!
forego,[fo:'gəu],"предшествовать, идти впереди"
foremost,['fo:məust],"передний, передовой, находящийся впереди других"
forestall,[fo:'sto:l],"следовать впереди; предвосхищать, опережать"
forlorn hope,,очень слабая надежда
formative,['fo:mətiv],образующий; формирующий; созидательный
foul blow,,"запрещённый приём, фол"
fragile,['fræʤail],"ломкий, хрупкий"
fragment,['frægmənt],"обломок; осколок; кусок, часть"
fragrant,['freigrənt],"ароматный, благоухающий"
frail,[freil],тростник
Fraud Squad,,Отдел по борьбе с мошенничеством (занимается расследованием экономических преступлений)
fraudulent bankruptcy,,злостное банкротство
frenetic,[frə'netik],"буйный, бурный, неистовый; несдержанный; маниакальный; буйный, бурный, неистовый; несдержанный; маниакальный"
fugitive,['fju:ʤətiv],беглец; беглец
fuse box,"['fju:z,bоks]",закрытый плавкий предохранитель
fusion ticket,,единый список (включающий кандидатов маленьких партий; выставляется в противовес кандидату от крупной партии)
to gain colour,,порозоветь
gala performance,,гала-представление
gale,[geil],"шторм; буря; ветер от 7 до 10 баллов (порыв, движущийся со скоростью от 51 до 100 километров в час)"
garrulous,['gær(ə)ləs],"болтливый, говорливый, словоохотливый"
gaudy,['go:di],большое празднество
genial,['ʤi:niəl],"весёлый, общительный; добрый, доброжелательный"
genuine leather,,натуральная кожа
germane,[ʤə:'mein],"(to) уместный, подходящий, соответствующий"
germinate,['ʤə:mineit],давать почки или ростки
ghastly,['ga:stli],"наводящий ужас, жуткий, страшный"
glorify,['glo:rifai],"восхвалять, возвеличивать; славить, прославлять"
glory hole,['glo:rihəul],"место, куда в беспорядке сваливают вещи (кладовая, ящик)"
to goad into fury,,приводить в ярость
gorgeous,['go:ʤəs],"вычурный, эффектный, яркий, пышный (о привычках, манерах людей делать что-л.)"
grace cup,['greisk∧p],кубок или чаша (передаваемые по кругу после произнесения молитвы по окончании приёма пищи)
graphic art,,"графическое искусство, графика"
grasp,[gra:sp],схватывание; крепкое сжатие; хватка
grass(-)roots,"[,gra:s'ru:ts]","основа, источник"
gratuitous,[grə'tju:itəs],"бесплатный, даровой"
grave accent,,"гравис, нисходящий тон (от латинского ""тяжелый"")"
gravid,['grævid],беременная
gravitas,['grævitæs],"авторитет, вес; солидность, серьёзность"
gravitate,['græviteit],"тяготеть, стремиться"
graze,[greiz],"слегка касаться, задевать"
gregarious,[gri'gɛəriəs],"живущий стаями, стадами, обществами"
grip vice,['gripvais],зажимные тиски
gross blunder,,грубая ошибка
grumble,['gr∧mbl],"ворчать, жаловаться"
guile,[gail],"обман; хитрость, коварство; вероломство, ложь"
gullible,['g∧libl],"доверчивый, легковерный"
gusto,['g∧stəu],"удовольствие, смак (с которым выполняется работа)"
haggle,['hægl],"вздорить, пререкаться; спорить (по мелочам); придираться"
hamper,['hæmpə],"препятствовать, мешать (чему-л.); затруднять, стеснять движения"
handpick,['hændpik],собирать руками
handy,['hændi],"доступный; близкий, (имеющийся) под рукой"
haphazard,"[,hæp'hæzəd]","случай, случайность, происшествие"
harangue,[hə'ræɳ],речь (публичная); горячее обращение
harass,['hærəs],"беспокоить, волновать, изводить, тревожить"
hardship,['ha:d∫ip],"трудность, трудности, неприятность, неприятности"
harm,[ha:m],"вред; убыток, урон, ущерб"
harness racing,,"скачки на лошадях, запряжённых в лёгкие коляски"
harsh reality,,суровая реальность
hasty pudding,,мучной заварной пудинг
haul off,,"выждав, действовать внезапно и резко"
havoc,['hævək],"опустошение; разорение, разрушение"
hazardous duty pay,,"надбавка (к окладу) за риск, опасные или тяжёлые условия работы"
hedonism,['hi:d(ə)niz(ə)m],гедонизм
hedonist,['hi:d(ə)nist],гедонист
heighten,['hait(ə)n],повышать; усиливать
helical gear,,"геликоидальное зубчатое колесо, косозубое колесо"
herald,['herəld],герольд; глашатай
heretic,['herətik],еретик
heyday,['heidei],"зенит, расцвет, лучшая пора"
hinder,['haində],задний
hoax,[həuks],"обман; ложь, мистификация, неправда"
hoist,[hоist],поднимать (что-л.)
homogeneous,"[,hоmə'ʤi:niəs]",однородный; гомогенный
homonym,['hоmənim],омоним
Ce,,церий (порядковый номер в таблице Менделеева - 58)
hospitable,[hоs'pitəbl],"гостеприимный, радушный"
hostage,['hоstiʤ],заложник
hostel,['hоst(ə)l],студенческое общежитие
hostile,['hоstail],"вражеский, неприятельский, принадлежащий противнику"
huge,[hju:ʤ],"большой, гигантский, громадный, огромный"
humiliate,[hju:'milieit],"унижать, оскорблять"
hurl away,,упускать
hypocrite,['hipəkrit],"лицемер, ханжа"
ideal,[ai'diəl],"идеал, образец, верх совершенства"
idiosyncrasy,"[,idiə'siɳkrəsi]","индивидуальная или групповая отличительная особенность (характера, стиля)"
idle capital,,мёртвый капитал
illiterate,[i'lit(ə)rət],неграмотный (человек)
illusion,"[i'lu:Ʒ(ə)n, i'lju:Ʒ(ə)n]","иллюзия, обман чувств; мираж"
illustrate,['iləstreit],"иллюстрировать, делать иллюстрации"
imaginary number,,мнимое число
imbibe,[im'baib],пить; употреблять алкоголь
immense,[i'men(t)s],"безмерный, очень большой, огромный"
imminent abortion,,угрожающий аборт
immortal glory,,неувядаемая слава
immune body,,антитело
immutable,[i'mju:təbl],"неизменный, непреложный, постоянный"
impair,[im'pɛə],"ослаблять, снижать, уменьшать"
impartial investigation,,беспристрастное расследование
impecunious,"[,impi'kju:niəs]","бедный, бедствующий, нуждающийся"
impediment,[im'pedimənt],физический недостаток (обычно связанный с речью)
impel,[im'pel],приводить в движение; продвигать вперёд; подталкивать
impending,[im'pendiɳ],нависающий
imperceptible,"[,impə'septəbl]","незаметный, незначительный"
implement,['implimənt],"инструмент, прибор; орудие, средство"
impose,[im'pəuz],"класть, помещать, фиксировать в определённом положении"
impromptu speech,,импровизированная речь
improvise,['imprəvaiz],импровизировать
Te Deum,"[,tei'deium]",Тедеум
incalculable,[in'kælkjuləbl],"неисчислимый, несчётный; несметный"
incandescent lamp,,лампа накаливания
incense,['insen(t)s],"ладан, фимиам"
incentive pay,,поощрительная оплата
incessant,[in'ses(ə)nt],"беспрестанный, непрекращающийся, непрерывный, непрестанный, постоянный"
incognito,"[,inkоg'ni:təu]",инкогнито
incongruous,[in'kоɳgruəs],"несоответственный, несочетаемый, несовместимый"
inconsonant,[in'kоn(t)sənənt],"несовместимый, несообразный"
increment,['iɳkrimənt],"возрастание, расширение, увеличение"
indifferent,[in'dif(ə)r(ə)nt],"безразличный, равнодушный, индифферентный"
indigent,['indiʤənt],лишённый (чего-л.)
indignant,[in'dignənt],"негодующий, возмущённый"
indispensable,"[,indi'spen(t)səbl]","обязательный, не допускающий исключений (о правиле)"
induce,[in'dju:s],"побуждать, склонять, убеждать"
inevitable abortion,,угрожающий аборт
infinite mercy,,бесконечная милость
infinitesimal,"[,infini'tesim(ə)l]",бесконечно малая величина
infringe,[in'frinʤ],"нарушать, преступать (закон, обязательство, клятву)"
infuriate,[in'fjuərieit],"приводить в ярость, бешенство, неистовство; разъярять, бесить, выводить из себя"
ingenious invention,,оригинальное изобретение
ingenuous,[in'ʤenjuəs],"открытый, прямой, искренний, откровенный"
ingredient,[in'gri:diənt],"составная часть, компонент, ингредиент"
inhibit,[in'hibit],"задерживать, сдерживать, препятствовать"
inhospitable,"[,inhоs'pitəbl]","негостеприимный, недружелюбный, неприветливый"
initial chaos,,первозданный хаос
injurious,[in'ʤuəriəs],вредный; вредоносный
innocuous,[i'nоkjuəs],"безвредный; безобидный, безопасный"
innovative,"['inəuveitiv, 'inəveitiv]","новаторский, передовой, рационализаторский"
inopportune,[in'оpətju:n],"неподходящий, несвоевременный, неуместный"
inordinate,[i'no:dinət],неумеренный; чрезмерный
inroad,['inrəud],"набег, нашествие"
insatiate,"[in'sei∫iət, in'sei∫ieit]","ненасытный; жадный, алчный"
insinuate,[in'sinjueit],"постепенно или хитростью вводить, внедрять, распространять"
insolent,['ins(ə)lənt],"высокомерный, кичливый, надменный"
insolvent,[in'sоlv(ə)nt],несостоятельный должник; банкрот
instantaneous (water-)heater,,колонка для подогрева воды
instigate,['in(t)stigeit],"(instigate to) побуждать, подстрекать (к чему-л.)"
insult,[in's∧lt],оскорблять; обижать
insurrection,"[,ins(ə)'rek∫(ə)n]",восстание
integral calculus,,интегральное исчисление
intelligible,[in'teliʤəbl],"вразумительный, понятный, четкий, ясный"
intense training,,интенсивное обучение
interim commission,,временная комиссия
interminable,[in'tə:minəbl],"бесконечный, беспредельный"
intervene,"[,intə'vi:n]","вмешиваться; вклиниваться, вступаться; вставать между"
intimate details,,интимные подробности
intimidate,[in'timideit],"пугать; запугивать, устрашать"
intractable pain,,хроническая боль
intrepid,[in'trepid],"бесстрашный, неустрашимый, отважный, смелый, храбрый"
intrigue,['intri:g],"интрига, козни, тайные происки"
invaluable,[in'væljuəbl],"бесценный, неоценимый"
inventory,['inv(ə)nt(ə)ri],"опись, реестр, инвентарная ведомость"
invincible,[in'vin(t)səbl],"неодолимый, непобедимый, непреодолимый"
inviting,[in'vaitiɳ],"заманчивый, манящий, привлекательный, притягательный, соблазнительный"
involuntary manslaughter,,"невольное, нечаянное, непредумышленное убийство"
irate,[ai'reit],"гневный, разгневанный, взбешенный"
irrevocable,[i'revəkəbl],"неотменяемый, бесповоротный, окончательный; безвозвратный"
irritable,['iritəbl],"несдержанный, раздражительный; несдержанный, раздражительный"
jagged,['ʤægid],"зубчатый, зазубренный; неровно оторванный"
jeopardy,['ʤepədi],"опасность, риск"
jolly along,,"умасливать, улещать, задабривать; лестью или ласковым поведением пытаться добиться (чего-л.)"
jolt,[ʤəult],"толчок; столкновение, тряска"
judicious,[ʤu:'di∫əs],"благоразумный, здравомыслящий, разумный, рассудительный"
juncture,['ʤ∧ɳkʧə],"соединение (как процесс); присоединение, сращивание"
juvenile court,,суд по делам несовершеннолетних
keen eyesight,,острое зрение
key actor,,актёр первого плана
knack,[næk],"умение, сноровка, мастерство"
"to lack ballast, have no ballast",,быть неуравновешенным (человеком)
lag,[læg],"отставание; задержка, запаздывание"
landscape architecture,,садово-парковая архитектура; декоративное садоводство
landslide,['lændslaid],"обвал, оползень"
languid attempt,,слабая попытка
lapse from virtue,,грехопадение
lassitude,['læsitju:d],"усталость, утомление; апатия"
last but not least,,"хотя и последний, но не менее важный"
latent energy,,потенциальная (скрытая) энергия
laud,[lo:d],"похвала, хвала, восхваление"
lax vowel,,ненапряжённый гласный
leaflet,['li:flət],"листочек, листик; молодой лист"
leaven,['lev(ə)n],"дрожжи, закваска; фермент"
legendary,['leʤənd(ə)ri],легендарный
lenient,['li:niənt],снисходительный; мягкий; терпимый
lessen,['les(ə)n],"уменьшаться, сокращаться"
lethal chamber,,"""камера смерти"" (место, где усыпляют животных)"
lethargic(al),[lə'θa:ʤik((ə)l)],летаргический
lewd,"[lju:d, lu:d]",похотливый; распутный
licentious,[lai'sen∫əs],"безнравственный, распущенный"
likely,['laikli],"вероятный, возможный"
linger,['liɳgə],"засиживаться, задерживаться"
to link in,,"завлекать, соблазнять"
litigate,['litigeit],судиться (с кем-л.); быть тяжущейся стороной (в судебном процессе)
loafer,['ləufə],"бездельник, тунеядец"
loathsome,['ləu∂səm],"тошнотворный; противный, отталкивающий, омерзительный; тошнотворный; противный, отталкивающий, омерзительный"
locomotion,"[,ləukə'məu∫(ə)n]","передвижение, перемещение"
lofty phrases,,разглагольствование
to loom large,,оказывать большое влияние
loophole,['lu:phəul],"амбразура, бойница"
lucid interval,,просветление
lucrative,['lu:krətiv],"прибыльный, выгодный, доходный, рентабельный"
lugubrious,[lu:'gu:briəs],"скорбный, печальный, мрачный; траурный"
lukewarm,"[,lu:k'wo:m]",тепловатый
to lull to sleep,,усыплять
lullaby,['l∧ləbai],колыбельная (песня)
lumber room,,чулан
luminous efficiency,,световая отдача
lunatic asylum,,сумасшедший дом
lure,[l(j)uə],соблазн
lurid,['l(j)uərid],мертвенно-бледный
lurk,[lə:k],#ERROR!
lustrous,['l∧strəs],"блестящий, яркий; глянцевитый"
luxurious,[l∧g'Ʒuriəs],"богатый, пышный, роскошный; дорогой"
magnify,['mægnifai],увеличивать
magnitude,['mægnitju:d],"величина, размеры"
maiden assize,,"сессия уголовного суда, на рассмотрение которой не вынесено уголовных дел"
makeshift,['meik∫ift],временная замена; паллиатив
make up,,"пополнять, возмещать, компенсировать; навёрстывать"
malady,['mælədi],"болезнь; заболевание, расстройство"
malice,['mælis],злоба
malignant bacteria,,"вредные, болезнетворные бактерии"
mandatory retirement,,принудительное увольнение
manifest,['mænifest],"манифест, декларация судового груза"
maritime law,,морское право
marked man,,"человек, за которым следят"
the Massacre of St. Bartholomew,,Варфоломеевская ночь (расправа католиков над гугенотами в Париже в ночь с 23 на 24 августа 1572 г.)
mature,[mə'ʧuə],"зрелый, спелый (о плоде.)"
maxim,['mæksim],"максима, аксиома; афоризм, изречение, сентенция"
meddle,['medl],"заниматься, интересоваться чем-л.; вмешиваться, совать свой нос"
meek,[mi:k],"кроткий, мягкий; покорный, послушный, смиренный"
memorable day,,памятный день
menace,"['menis, 'menəs]",угроза; опасность; опасный человек
to mend fences,,стараться установить дружеские отношения
merge,[mə:ʤ],"погружаться (в жидкость, деятельность, среду)"
meritorious,"[,meri'to:riəs]","заслуживающий одобрения, награды, благодарности"
mesmerize,['mezm(ə)raiz],гипнотизировать
meteor shower,,звёздный дождь; метеорный дождь
meticulous,[mə'tikjələs],"мелочный; дотошный; тщательный; щепетильный, педантичный"
mild cheese,,неострый сыр
millennial,[mi'leniəl],"тысячелетний, относящийся к тысячелетию"
mingle,['miɳgl],смешиваться
minuscule,['minəskju:l],минускул (строчная буква в средневековых рукописях)
minute anatomy,,"микроскопическая анатомия, гистология"
mirth,[mə:θ],"веселье, радость, увеселение"
misappropriate,"[,misə'prəuprieit]","незаконно присвоить, завладеть"
misrepresent,"[,misrepri'zent]","искажать, представлять в ложном свете"
mock attack,,ложное наступление
molest,[mə'lest],заигрывать; приставать
monitor lizard,,варан
monotonous,[mə'nоt(ə)nəs],"монотонный; однозвучный, однотонный"
monumental mason,,"мастер, делающий надгробные плиты, памятники"
morale,[mə'ra:l],моральное состояние; боевой дух
morbid anatomy,,патологическая анатомия
mournful,"['mo:nf(ə)l, 'mo:nful]","унылый, угрюмый, печальный, скорбный; мрачный"
murky,['mə:ki],"тёмный, мрачный"
mute consonant,,немой согласный
mutiny,['mju:t(ə)ni],"мятеж, восстание, бунт (особенно военный или против военных властей)"
mysterious,[mi'stiəriəs],"таинственный; загадочный, непостижимый"
mythic(al),['miθik(əl)],"легендарный, мифический, сказочный"
naughty,['no:ti],"непослушный, капризный, шаловливый; озорной"
neglect,[ni'glekt],"пренебрежение, игнорирование"
negligible,['negliʤəbl],"незначительный; неважный, не принимаемый в расчёт, игнорируемый"
negotiate,"[ni'gəu∫ieit, ni'gəusieit]","вести переговоры, договариваться; обсуждать условия"
nibble,['nibl],грызть; обгрызать; щипать (траву)
nocturnal emission,,поллюция
nonchalant,['nоn∫(ə)lənt],"бесстрастный; безразличный, равнодушный, индифферентный, невозмутимый"
notable,['nəutəbl],"примечательный, достопримечательный, замечательный (чем-л.)"
notify,['nəutifai],"извещать, уведомлять; извещать, уведомлять"
notorious,[nəu'to:riəs],пользующийся дурной славой; печально известный; пресловутый; отъявленный
novel,['nоv(ə)l],роман
novice,['nоvis],"начинающий, новичок; новобранец"
noxious air,,отравленная атмосфера
obese,[əu'bi:s],"тучный, толстый, страдающий ожирением"
obituary notice,,объявление о смерти; краткий некролог
objective case,,"objective объектный падеж, падеж прямого дополнения, объектив (в английском языке сохранился только у личных местоимений)"
oblique case,,"косвенный падеж (любой падеж, кроме именительного)"
oblivious,[ə'bliviəs],"(of / to smth.) не замечающий чего-л., не обращающий внимания на что-л.; рассеянный"
oblong,['оblоɳ],"продолговатый; вытянутый, удлинённый"
obscene,[əb'si:n],"непристойный, непотребный; грязный; порнографический"
obscure meaning,,"тёмное, неясное значение"
obsequious,[əb'si:kwiəs],"подобострастный, раболепный"
obsolete form,,устаревшая форма
obstinate,['оbstinit],"упрямый, своевольный; не поддающийся (убеждению, просьбам)"
obtrude,[əb'tru:d],"выдвигать, высовывать, выставлять"
obvious,['оbviəs],"очевидный, заметный"
odd card,,чудак
offhand,"[,оf'hænd]","импровизированный, сделанный без подготовки, экспромтом; импровизированный, сделанный без подготовки, экспромтом"
Olympian calm,,олимпийское спокойствие
omen,['əumən],"знак, знамение, предзнаменование; примера"
ominous,['оminəs],"предсказывающий, предвещающий"
ooze away,,"понижаться, медленно исчезать, убывать"
opportune,['оpətju:n],благоприятный; подходящий
opulent,['оpjulənt],"богатый, состоятельный; процветающий"
orbit,['o:bit],"орбита (небесного тела, искусственного спутника)"
ordeal,[o:'di:l],суровое испытание
ornamental,"[,o:nə'ment(ə)l]","декоративный, служащий украшением, орнаментальный"
orotund,['оrət∧nd],"звучный, полновесный"
ostracize,['оstrəsaiz],подвергать остракизму; изгонять
outgoing mail,,исходящая почта
outlet,['autlet],"выход, проход"
outlook,['autluk],"(for) перспективы, виды на будущее"
outrage,['autreiʤ],"грубое нарушение (закона, прав, приличий); произвол; акт насилия"
outskirt,"[,aut'skə:t]","граничить, прилегать"
outspread,"[,aut'spred]",распростёртый
outstanding account,,неоплаченный счёт
outworn,"[,aut'wo:n]","изношенный, поношенный; негодный к употреблению"
overall results,,итоги
overcast,['əuvəka:st],"затянутый облаками; мрачный, хмурый"
overcome,"[,əuvə'k∧m]","побороть, победить"
overdue,"[,əuvə'dju:]",опаздывающий
override,"[,əuvə'raid]","отменять, аннулировать (решение, постановление)"
overrun,"[,əuvə'r∧n]","переходить пределы, границы (чего-л.)"
oversight,['əuvəsait],"недосмотр, оплошность, упущение"
overstate,"[,əuvə'steit]",преувеличивать
overt,['əuvə:t],"неприкрытый, очевидный, явный"
overtake,"[,əuvə'teik]","догнать, наверстать; обогнать"
overwhelm,"[,əuvə'welm]","ошеломлять, поражать, потрясать"
pace of development,,темпы развития
pacesetter,['peissetə],лидер (в соревновании)
pacifist,['pæsifist],пацифист; пацифист
pact,[pækt],"договор, конвенция, пакт, соглашение"
painstaking job,,трудоемкая работа
paltry excuses,,жалкие оправдания
panacea,"[,pænə'si:ə]","панацея, универсальное средство, спасение; панацея, универсальное средство, спасение"
paramour,['pærəmuə],любовь
particle,['pa:tikl],частица; крупица
path of least resistance,,линия наименьшего сопротивления
patronage,['pætr(ə)niʤ],"покровительство, попечительство, шефство; заступничество, опека"
perceive,[pə'si:v],"воспринимать, понимать, осознавать; постигать"
perceptible,[pə'septəbl],"заметный, ощутимый, воспринимаемый; понятный, постижимый"
perch,[pə:ʧ],"насест, жёрдочка (для птиц)"
perennial plant,,многолетнее растение
perforate,['pə:f(ə)reit],"просверливать или пробивать отверстия, перфорировать, пробуравливать"
peril,['per(ə)l],опасность
perilous,"['per(ə)ləs, 'periləs]","опасный, рискованный"
periodic acid,,йодная кислота
permeate,['pə:mieit],"проникать, проходить сквозь; проникать, проходить сквозь"
perpetual motion,,"вечное движение, перпетуум-мобиле"
perplexing,[pə'pleksiɳ],трудный; озадачивающий; трудный; озадачивающий
perspicuous,[pə'spikjuəs],"понятный, чёткий, ясный"
pertain,[pə'tein],(pertain to)
pertinent suggestion,,своевременный совет
pervade,[pə'veid],"заполнять, наполнять (что-л.); заполнять, наполнять (что-л.)"
phenomenal,[fi'nоmin(ə)l],"феноменальный, выдающийся, исключительный, необыкновенный"
pierce,[piəs],"прокалывать, протыкать; пронзать"
pillage,['piliʤ],"грабёж, мародёрство"
placate,[plə'keit],"умиротворять; унимать, успокаивать"
plausible reason,,вероятная причина
to plead a cause,,защищать дело в суде
plethora,['pleθ(ə)rə],полнокровие
plush,[pl∧∫],плюш; плис
poky,['pəuki],"тесный, убогий (о месте, местонахождении)"
portion,['po:∫(ə)n],"доза, порция, часть"
portray,[po:'trei],рисовать портрет; изображать (кого-л.)
posthumous,['pоstjəməs],посмертный
postpone,"[,pəust'pəun]","откладывать; отсрочивать, оттягивать; откладывать; отсрочивать, оттягивать"
pounce,[paun(t)s],коготь (ястреба)
powerful evidence,,веские доказательства
preach down,,"выступать против чего-л., осуждать"
precarious,[pri'kɛəriəs],"ненадёжный, сомнительный; шаткий; зависящий от непредвиденных обстоятельств"
precept,['pri:sept],"правило поведения, принцип; заповедь"
precious jewels,,драгоценные камни
precise,[pri'sais],точный; определённый
preface,['prefəs],"предисловие; вводная часть; введение, вступление; преамбула"
premier,['premiə],"премьер, премьер-министр"
presage,['presiʤ],"знамение, предзнаменование, знак"
prescribe,[pri'skraib],предписывать; устанавливать
pressing,['presiɳ],"тягостный, обременительный; давящий"
presumptuous,"[pri'z∧mpʧuəs, pri'z∧mptjuəs]","самонадеянный; бесцеремонный, дерзкий, нахальный"
pretence,[pri'ten(t)s],притворство; обман
pretext,['pri:tekst],"отговорка, повод, предлог"
prevail,[pri'veil],"восторжествовать, одержать победу; достичь цели"
prevalent,['prev(ə)lənt],"распространённый, общепринятый, общеупотребительный"
prior to,['praiətu],"до, до момента, перед"
probe,[prəub],зонд
probity,['prəubəti],честность; неподкупность
to proclaim from the housetops,,провозглашать на кровлях
procure,[prə'kjuə],"доставать, доставлять; добывать, раздобывать; обеспечивать; доставать, доставлять; добывать, раздобывать; обеспечивать"
prodigious,[prə'diʤəs],"чрезмерный, непомерный, очень большой"
profane,[prə'fein],мирской; светский
profound hostility,,глубокая враждебность
profuse,[prə'fju:s],"обильный, щедрый"
proliferate,[prə'lif(ə)reit],распространяться (о знаниях и т. п.)
prolong,[prə'lоɳ],"продолжать, увеличивать в длину"
prominent figure,,выдающаяся личность
promiscuous,[prə'miskjuəs],"беспорядочный, неразборчивый (в знакомствах, связях и т. п.)"
prompt book,,суфлёрский экземпляр пьесы
pronounced,[prə'naun(t)st],"резко выраженный; определённый, отчётливый, чёткий, ясный, явный"
prophesy,['prоfəsai],"предсказывать, пророчить"
proportional representation,,избирательная система пропорционального представительства
propriety,[prə'praiəti],"правильность, правомерность, уместность"
proscribe,[prə'skraib],объявлять вне закона; высылать
protagonist,[prə'tæg(ə)nist],"главный герой; главное действующее лицо (в пьесе, литературном произведении)"
protracted,[prə'træktid],"затянувшийся; длительный, затяжной, продолжительный, растянутый"
provenance,['prоv(ə)nən(t)s],"происхождение, источник"
provisional government,,временное правительство
provoke,[prə'vəuk],"вызывать, возбуждать; провоцировать"
prudent,['pru:d(ə)nt],"благоразумный, предусмотрительный, разумный, рассудительный; благоразумный, предусмотрительный, разумный, рассудительный"
pugnacious,[p∧g'nei∫əs],драчливый
pulverize,['p∧lv(ə)raiz],"растирать, дробить, измельчать; превращать в порошок"
pursue a hobby,,"иметь хобби, увлекаться"
quaint,[kweint],"привлекательный своей оригинальностью или старомодностью, причудливый, затейливый"
quake,[kweik],"трястись, дрожать, качаться, колебаться (о земле)"
quandary,['kwоnd(ə)ri],затруднительное положение; затруднение; недоумение
quarrel,['kwоr(ə)l],ссора; перебранка; раздоры
quash,[kwо∫],"аннулировать, отменять"
quench,[kwenʧ],"гасить, тушить, заливать (огонь, пламя)"
query,['kwiəri],вопрос
quicksilver,"['kwik,silvə]",ртуть
radiant heat,,"лучистая энергия, инфракрасное излучение"
radical economics,,"радикальная экономика (термин, обозначающий марксистские экономические учения, а также некоторые учения анархического характера)"
ragged robin,"['rægid,rоbin]","дрёма, кукушкин цвет"
raid,[reid],внезапное нападение; рейд; налёт; набег
random variable,,случайная переменная
range elevation,,установка прицела
rash promise,,опрометчивое обещание
ration book,['ræ∫(ə)nbuk],продовольственная или промтоварная книжка
raze,[reiz],разрушать до основания
rebellion,[ri'beliən],"восстание; бунт, мятеж"
reception area,"[ri'sep∫(ə)n,ɛəriə]",рецептурный отдел в аптеке
recess appointment,,межсессионное назначение (назначение на государственную должность в период между сессиями Сената)
reciprocal curve,,кривая обратной зависимости
reckless,['rekləs],"необдуманный, безрассудный; опрометчивый, беспечный"
recollect,"[,rek(ə)'lekt]","вспоминать, припоминать"
reconcile,['rek(ə)nsail],"мирить, помирить, примирить"
recount,"[,ri:'kaunt]","рассказывать, излагать подробно"
recruit,[ri'kru:t],"кто-л., недавно или только что причисленный к некоему определённому кругу"
recurring decimal,[ri'kə:riɳ'desim(ə)l],периодическая десятичная дробь
redeem,[ri'di:m],выкупать (заложенные вещи и т. п.); выплачивать (долг по закладной)
redoubtable,[ri'dautəbl],"страшный, грозный, устрашающий"
refine,[ri'fain],"очищать (от примесей), рафинировать; повышать качество; облагораживать"
refurbish,"[,ri:'fə:bi∫]",подновлять; освежать; наводить блеск (на что-л.)
to refute a contention,,опровергать заявление
rehabilitate,"[,ri:hə'biliteit]",реабилитировать
rehearse,[ri'hə:s],репетировать; репетировать
reimburse,"[,ri:im'bə:s]","возвращать, возмещать, покрывать (сумму)"
NG,,Национальная гвардия (США)
release gear,[ri'li:sgiə],бомбосбрасыватель
relegate,['religeit],"переводить в низший разряд, класс; низводить"
reliable evidence,,надёжные доказательства; надёжные доказательства
relish,['reli∫],"(приятный) вкус, привкус, запах"
remedy,['remədi],"средство от болезни, лекарство"
reminisce,"[,remi'nis]","предаваться воспоминаниям, вспоминать прошлое"
remit,[ri'mit],прощать (обиду); отпускать (грехи)
remnant,['remnənt],остаток; остатки
remote access,,дистанционный доступ
remunerate,[ri'mju:n(ə)reit],"вознаграждать; компенсировать, оплачивать"
to render active,,"активировать, активизировать"
renounce,[ri'naun(t)s],отказываться (обычно путём формального заявления)
Ed,[ed],Эд (мужское имя)
repel,[ri'pel],"отбрасывать, отражать (атаку, нападение)"
repercussion,"[,ri:pə'k∧∫(ə)n]",отдача (после удара)
reproach,[ri'prəuʧ],"бранить; попрекать; укорять, упрекать"
reprobate,['reprəbeit],"негодяй, подлец"
veal,[vi:l],телятина
repugnance,[ri'p∧gnən(t)s],"отвращение, антипатия; нерасположение"
rescind,[ri'sind],"аннулировать, расторгать, отменять (закон, договор и т. п.)"
resent,[ri'zent],"негодовать, возмущаться; обижаться"
reserved character,,"молчаливость, скрытность"
residual,[ri'zidjuəl],остаточный
